time,value,flags,version,timeseries_id
2023-12-03 00:00:00+00:00,19.205,1,000001.000001.00000000000000,19956
2023-12-03 01:00:00+00:00,13.094,1,000001.000001.00000000000000,19956
2023-12-03 02:00:00+00:00,13.944,1,000001.000001.00000000000000,19956
2023-12-03 03:00:00+00:00,11.729,1,000001.000001.00000000000000,19956
2023-12-03 04:00:00+00:00,7.76,1,000001.000001.00000000000000,19956
2023-12-03 05:00:00+00:00,4.825,1,000001.000001.00000000000000,19956
2023-12-03 06:00:00+00:00,7.768,1,000001.000001.00000000000000,19956
2023-12-03 07:00:00+00:00,7.09,1,000001.000001.00000000000000,19956
2023-12-03 08:00:00+00:00,8.105,1,000001.000001.00000000000000,19956
2023-12-03 09:00:00+00:00,7.438,1,000001.000001.00000000000000,19956
2023-12-03 10:00:00+00:00,6.186,1,000001.000001.00000000000000,19956
2023-12-03 11:00:00+00:00,9.296,1,000001.000001.00000000000000,19956
2023-12-03 12:00:00+00:00,7.926,1,000001.000001.00000000000000,19956
2023-12-03 13:00:00+00:00,11.351,1,000001.000001.00000000000000,19956
2023-12-03 14:00:00+00:00,7.204,1,000001.000001.00000000000000,19956
2023-12-03 15:00:00+00:00,7.109,1,000001.000001.00000000000000,19956
2023-12-03 16:00:00+00:00,10.31,1,000001.000001.00000000000000,19956
2023-12-03 17:00:00+00:00,8.888,1,000001.000001.00000000000000,19956
2023-12-03 18:00:00+00:00,11.351,1,000001.000001.00000000000000,19956
2023-12-03 19:00:00+00:00,8.732,1,000001.000001.00000000000000,19956
2023-12-03 20:00:00+00:00,4.97,1,000001.000001.00000000000000,19956
2023-12-03 21:00:00+00:00,9.901,1,000001.000001.00000000000000,19956
2023-12-03 22:00:00+00:00,8.376,1,000001.000001.00000000000000,19956
2023-12-03 23:00:00+00:00,15.057,1,000001.000001.00000000000000,19956
